1, Caudal anterior cingulate
2, Caudal middle frontal
3, Cuneus
4, entorinal
5, fusiform
6, Inferior parietal
7, Inferior temporal
8, Isthmus cingulate
9, Lateral Occipital
10, Lateral orbitofronal
11, Lingual gyrus
12, Medial orbitofrontal
13, Middle temporal
14, Parahippocampal
15, Paracentral 
16, Pars opercularis
17, Pars orbitalis
18, Pars triangularis
19, Pericalcarine
20, Postcentral
21, Posterior cingulate
22, Precentral
23, Precuneus
24, Rostral anterior cingulate
25, Rostral middle frontal
26, Superior frontal
27, Superior parietal
28, Superior Temporal
29, Supramarginal
30, Transverse temporal
31, Insula
32, Basal forebrain
33, Amygdala
34, Hypothalamus???
35, Caudate
36, Hippocampus
37, Globus Pallidus
38, Putamen
39, Thalamus
40, Caudal anterior cingulate
41, Caudal middle frontal
42, Cuneus
43, entorinal
44, fusiform
45, Inferior parietal
46, Inferior temporal
47, Isthmus cingulate
48, Lateral Occipital
49, Lateral orbitofronal
50, Lingual gyrus
51, Medial orbitofrontal
52, Middle temporal
53, Parahippocampal
54, Paracentral 
55, Pars opercularis
56, Pars orbitalis
57, Pars triangularis
58, Pericalcarine
59, Postcentral
60, Posterior cingulate
61, Precentral
62, Precuneus
63, Rostral anterior cingulate
64, Rostral middle frontal
65, Superior frontal
66, Superior parietal
67, Superior Temporal
68, Supramarginal
69, Transverse temporal
70, Insula
71, Basal forebrain
72, Amygdala
73, Hypothalamus
74, Caudate
75, Hippocampus
76, Globus Pallidus
77, Putamen
78, Thalamus
79, L Cerebellum
80, R Cerebellum
